age,job,marital,education,balance,housing,loan,day,month
26,entrepreneur,single,secondary,101,yes,no,5,feb
26,entrepreneur,single,tertiary,725,no,no,5,feb
34,unemployed,married,primary,309,no,no,5,feb
42,technician,single,secondary,541,yes,no,5,feb
54,services,married,unknown,0,yes,no,5,feb
53,management,married,tertiary,1624,no,no,5,feb
54,technician,married,secondary,0,no,no,5,feb
48,entrepreneur,single,tertiary,318,yes,no,5,feb
40,unemployed,married,primary,1908,yes,no,5,feb
28,technician,single,tertiary,676,no,no,5,feb
34,entrepreneur,married,tertiary,1076,yes,no,5,feb
34,management,single,tertiary,1228,no,no,5,feb
32,management,single,tertiary,0,no,no,5,feb
31,services,single,secondary,13,no,yes,6,feb
31,management,single,tertiary,12857,yes,no,6,feb
66,technician,married,secondary,0,no,no,6,feb
37,technician,single,tertiary,6101,no,no,6,feb
33,management,married,tertiary,158,no,no,6,feb
50,management,married,tertiary,346,no,no,6,feb
33,blue-collar,single,secondary,697,no,no,6,feb
56,management,married,tertiary,616,no,no,6,feb
26,services,single,tertiary,1140,yes,no,6,feb
59,retired,divorced,tertiary,3444,no,no,6,feb
32,blue-collar,married,secondary,1879,no,no,6,feb
22,student,single,secondary,0,no,no,6,feb
34,management,married,tertiary,0,no,no,6,feb
39,services,married,tertiary,1493,no,no,9,feb
28,technician,single,secondary,313,no,no,9,feb
31,self-employed,single,tertiary,1815,no,no,9,feb
33,blue-collar,single,tertiary,700,no,no,9,feb
66,retired,married,primary,206,no,no,9,feb
26,admin.,single,secondary,255,no,no,9,feb
30,admin.,single,secondary,270,no,no,9,feb
28,technician,single,tertiary,4987,no,no,9,feb
29,technician,single,tertiary,673,yes,no,9,feb
49,services,married,secondary,320,no,no,9,feb
34,admin.,married,secondary,0,yes,no,10,feb
47,blue-collar,married,secondary,292,no,no,10,feb
42,technician,married,tertiary,757,no,no,10,feb
43,management,married,tertiary,40,no,no,10,feb
61,retired,married,tertiary,1257,no,no,10,feb
35,technician,single,secondary,1693,yes,no,10,feb
40,blue-collar,married,secondary,5060,no,no,10,feb
31,management,divorced,tertiary,373,no,no,10,feb
33,management,married,secondary,369,no,no,11,feb
69,retired,married,primary,2346,no,no,11,feb
30,services,single,secondary,1599,no,no,11,feb
41,technician,married,secondary,1066,no,no,11,feb
31,management,married,tertiary,2603,yes,no,11,feb
22,student,single,secondary,381,no,no,12,feb
37,admin.,married,secondary,1314,yes,no,12,feb
48,management,single,tertiary,5689,no,no,12,feb
85,retired,married,primary,12114,no,no,12,feb
72,retired,married,tertiary,0,no,no,13,feb
46,admin.,divorced,secondary,2232,no,no,13,feb
26,technician,single,tertiary,11862,no,no,13,feb
37,technician,married,tertiary,127,yes,no,13,feb
53,management,divorced,tertiary,2152,no,no,13,feb
33,management,single,tertiary,3552,no,no,13,feb
90,retired,divorced,secondary,1,no,no,13,feb
54,admin.,divorced,secondary,1872,no,no,13,feb
67,retired,married,tertiary,1341,no,no,13,feb
42,management,divorced,unknown,7702,no,no,16,feb
71,retired,married,primary,4657,no,no,16,feb
44,admin.,divorced,secondary,397,yes,yes,16,feb
47,entrepreneur,married,tertiary,0,no,no,16,feb
44,admin.,married,tertiary,348,yes,yes,16,feb
37,technician,single,secondary,2442,no,no,16,feb
37,services,married,secondary,1543,yes,no,16,feb
28,self-employed,single,tertiary,805,no,no,16,feb
21,blue-collar,single,secondary,2265,no,no,17,feb
32,management,single,tertiary,312,no,no,17,feb
51,technician,married,secondary,196,yes,yes,17,feb
26,student,single,secondary,620,no,no,17,feb
74,retired,married,secondary,1714,no,no,17,feb
65,retired,married,tertiary,2416,no,no,17,feb
47,technician,married,secondary,335,no,no,17,feb
38,admin.,married,secondary,755,yes,no,17,feb
71,retired,married,secondary,2850,no,no,17,feb
29,services,married,secondary,1135,yes,no,17,feb
61,retired,married,primary,197,no,no,17,feb
57,retired,divorced,primary,720,no,no,17,feb
37,management,married,tertiary,5355,no,no,17,feb
68,retired,married,secondary,445,no,no,18,feb
29,management,single,tertiary,5359,no,no,18,feb
51,entrepreneur,married,primary,1443,no,no,18,feb
41,technician,divorced,secondary,4047,yes,no,18,feb
24,student,single,secondary,23878,no,no,18,feb
24,blue-collar,single,secondary,167,no,yes,18,feb
59,unemployed,married,secondary,1047,no,no,18,feb
85,retired,divorced,primary,7613,no,no,18,feb
51,technician,married,secondary,117,no,no,18,feb
39,technician,married,secondary,2266,no,no,18,feb
44,management,married,primary,558,no,no,19,feb
26,admin.,single,secondary,2509,no,no,19,feb
48,management,married,tertiary,1808,yes,no,26,feb
37,technician,single,secondary,1130,no,no,26,feb
71,retired,married,tertiary,653,no,no,26,feb
62,housemaid,married,unknown,2021,no,no,26,feb
26,admin.,single,tertiary,313,no,yes,26,feb
43,unemployed,single,tertiary,983,yes,no,26,feb
30,management,single,tertiary,5561,yes,no,27,feb
50,management,married,unknown,8345,no,no,27,feb
25,technician,single,secondary,1231,yes,no,27,feb
25,admin.,single,tertiary,3730,yes,no,27,feb
31,management,single,tertiary,924,no,no,27,feb
28,technician,single,tertiary,2489,yes,no,27,feb
66,retired,married,secondary,995,no,no,27,feb
41,management,married,secondary,280,yes,no,27,feb
46,technician,married,secondary,3434,no,yes,27,feb
42,unemployed,married,tertiary,576,no,no,27,feb
28,technician,single,secondary,1363,no,no,27,feb
39,blue-collar,single,primary,581,yes,no,27,feb
42,services,married,secondary,1376,yes,no,2,mar
35,services,married,secondary,52,yes,no,2,mar
55,technician,married,secondary,0,yes,yes,2,mar
37,technician,married,tertiary,549,no,no,2,mar
29,management,single,tertiary,92,no,no,2,mar
49,management,married,tertiary,2881,no,no,2,mar
44,technician,single,secondary,250,no,no,2,mar
54,admin.,married,secondary,602,no,no,3,mar
28,management,single,tertiary,730,yes,no,3,mar
30,admin.,single,secondary,523,no,yes,3,mar
47,technician,married,secondary,293,no,no,3,mar
34,blue-collar,single,secondary,215,no,no,3,mar
37,unknown,single,tertiary,0,no,no,3,mar
25,self-employed,single,tertiary,42,yes,no,3,mar
29,technician,single,secondary,316,yes,no,3,mar
62,management,married,secondary,4562,yes,no,3,mar
58,management,divorced,secondary,10180,no,no,3,mar
46,management,married,tertiary,0,no,no,3,mar
56,retired,married,tertiary,281,no,no,3,mar
33,management,married,tertiary,250,no,no,4,mar
27,student,single,tertiary,0,no,no,5,mar
60,retired,married,secondary,404,no,no,5,mar
32,management,single,tertiary,506,no,no,5,mar
83,retired,divorced,primary,1097,no,no,5,mar
35,self-employed,married,tertiary,3698,yes,no,5,mar
31,management,divorced,tertiary,883,yes,no,5,mar
30,student,single,tertiary,2539,no,no,5,mar
29,technician,married,secondary,2326,no,no,6,mar
36,management,single,tertiary,811,no,no,6,mar
57,management,married,tertiary,256,no,no,6,mar
21,blue-collar,single,secondary,682,no,no,6,mar
44,management,single,tertiary,483,no,no,6,mar
23,management,single,tertiary,1506,no,no,9,mar
34,management,single,tertiary,575,no,no,9,mar
32,self-employed,married,secondary,409,no,no,9,mar
37,unemployed,single,tertiary,1316,yes,no,10,mar
35,management,single,tertiary,671,yes,no,10,mar
47,management,married,tertiary,2351,no,no,10,mar
61,management,married,tertiary,997,no,no,10,mar
30,management,single,tertiary,4808,no,no,10,mar
70,retired,married,secondary,6422,no,no,10,mar
52,management,married,tertiary,31,no,no,10,mar
28,management,single,secondary,171,no,no,10,mar
57,management,married,tertiary,2681,no,no,11,mar
24,admin.,single,tertiary,-61,no,no,11,mar
32,management,married,tertiary,8929,no,no,11,mar
65,housemaid,married,primary,715,no,no,11,mar
44,management,married,tertiary,1058,no,no,11,mar
32,entrepreneur,single,tertiary,-34,yes,no,11,mar
33,technician,single,tertiary,258,no,no,12,mar
53,services,divorced,secondary,0,no,no,12,mar
31,management,divorced,tertiary,71,no,no,12,mar
58,self-employed,married,tertiary,5810,no,no,12,mar
30,management,single,tertiary,3473,no,no,12,mar
47,blue-collar,married,secondary,238,yes,yes,13,mar
60,technician,married,secondary,1740,no,no,13,mar
36,entrepreneur,divorced,tertiary,3407,no,no,16,mar
37,services,single,secondary,1045,no,no,17,mar
43,admin.,married,secondary,132,no,no,17,mar
37,admin.,single,tertiary,1000,yes,no,17,mar
31,management,single,tertiary,115,no,no,17,mar
31,technician,married,secondary,180,no,no,17,mar
30,management,single,tertiary,201,yes,no,17,mar
30,management,married,tertiary,8089,yes,no,18,mar
32,admin.,single,tertiary,8866,no,no,18,mar
35,admin.,married,secondary,2,yes,no,18,mar
59,technician,married,secondary,259,no,no,18,mar
33,housemaid,single,tertiary,1107,yes,no,18,mar
37,management,single,tertiary,1730,no,no,19,mar
31,services,married,secondary,447,no,no,19,mar
26,management,single,tertiary,2786,no,no,23,mar
53,technician,married,secondary,10185,no,no,23,mar
34,unemployed,married,secondary,978,no,no,24,mar
46,management,divorced,tertiary,-130,yes,no,24,mar
76,retired,divorced,primary,3049,no,no,24,mar
46,management,married,tertiary,11385,no,no,24,mar
83,retired,divorced,primary,46,no,no,25,mar
23,student,single,secondary,4126,no,no,25,mar
34,management,single,tertiary,212,no,no,25,mar
24,student,single,secondary,1250,no,no,25,mar
41,management,divorced,tertiary,25,yes,yes,26,mar
28,admin.,single,secondary,1277,no,no,26,mar
34,technician,married,secondary,390,yes,no,27,mar
77,retired,married,secondary,9601,no,no,27,mar
36,management,married,secondary,565,no,no,27,mar
58,management,married,tertiary,1384,yes,no,27,mar
46,admin.,married,secondary,-522,yes,no,27,mar
59,retired,married,tertiary,9676,no,no,27,mar
19,student,single,primary,134,no,no,27,mar
23,management,single,tertiary,2143,no,no,30,mar
27,management,single,tertiary,831,no,no,30,mar
73,retired,divorced,primary,2308,no,no,30,mar
41,management,married,tertiary,1468,yes,no,31,mar
30,admin.,single,tertiary,311,no,no,31,mar
26,admin.,single,secondary,274,no,no,1,apr
38,blue-collar,single,tertiary,172,yes,no,1,apr
46,management,divorced,tertiary,507,yes,no,1,apr
27,technician,single,tertiary,393,no,no,1,apr
63,self-employed,married,tertiary,-39,no,no,1,apr
34,admin.,married,secondary,1474,no,no,2,apr
32,admin.,single,secondary,471,no,yes,2,apr
33,management,single,tertiary,3161,yes,no,2,apr
47,blue-collar,married,secondary,1612,yes,no,2,apr
48,admin.,divorced,secondary,4099,no,no,2,apr
58,unknown,married,unknown,68,no,no,2,apr
50,management,married,tertiary,414,yes,no,3,apr
26,blue-collar,single,secondary,5005,no,yes,3,apr
39,blue-collar,married,secondary,1756,yes,no,3,apr
55,blue-collar,divorced,secondary,1613,yes,no,3,apr
41,self-employed,married,secondary,3123,yes,no,3,apr
54,entrepreneur,divorced,unknown,4736,yes,no,6,apr
33,technician,single,tertiary,127,yes,no,6,apr
42,management,single,tertiary,11891,no,no,6,apr
50,blue-collar,married,primary,4979,no,no,6,apr
40,management,married,secondary,754,no,yes,6,apr
37,admin.,married,secondary,1207,yes,no,6,apr
44,blue-collar,single,secondary,712,yes,yes,6,apr
30,blue-collar,single,tertiary,297,no,no,7,apr
26,self-employed,single,secondary,3676,no,no,7,apr
47,unemployed,married,secondary,817,no,no,7,apr
46,blue-collar,single,tertiary,283,no,no,7,apr
25,admin.,single,secondary,82,no,yes,7,apr
56,technician,married,secondary,2847,no,no,8,apr
36,blue-collar,single,secondary,1822,yes,no,8,apr
35,technician,single,secondary,16,yes,no,8,apr
54,unemployed,married,secondary,377,no,no,8,apr
48,management,married,secondary,4415,yes,no,8,apr
32,technician,married,secondary,303,yes,no,8,apr
60,admin.,divorced,secondary,12039,no,no,8,apr
67,retired,married,secondary,1443,no,no,8,apr
32,management,single,tertiary,1781,no,no,8,apr
26,admin.,married,secondary,3415,no,no,8,apr
33,management,single,tertiary,318,yes,no,8,apr
21,student,single,primary,423,no,no,8,apr
30,technician,single,secondary,2544,no,no,8,apr
27,student,single,secondary,2614,no,no,8,apr
30,services,single,secondary,1268,yes,no,8,apr
36,blue-collar,married,secondary,536,yes,no,8,apr
27,admin.,married,secondary,1293,yes,no,8,apr
29,management,single,tertiary,1377,no,no,8,apr
38,blue-collar,single,secondary,2580,yes,no,8,apr
23,admin.,single,tertiary,314,no,yes,8,apr
38,technician,married,tertiary,206,no,no,8,apr
30,technician,single,secondary,3286,yes,no,9,apr
41,services,married,secondary,803,yes,no,9,apr
33,technician,single,secondary,719,yes,no,9,apr
35,admin.,married,secondary,898,yes,no,9,apr
29,admin.,married,tertiary,332,no,no,9,apr
68,retired,divorced,primary,695,no,no,9,apr
20,student,single,secondary,1819,no,no,9,apr
30,management,single,tertiary,2544,no,no,9,apr
32,blue-collar,married,secondary,759,yes,no,9,apr
28,management,divorced,tertiary,229,yes,no,9,apr
45,blue-collar,married,secondary,96,yes,no,13,apr
29,technician,single,secondary,110,yes,no,13,apr
31,blue-collar,married,secondary,1406,yes,yes,13,apr
39,services,divorced,secondary,0,yes,no,13,apr
42,blue-collar,married,primary,2103,yes,no,13,apr
35,management,single,tertiary,1599,yes,yes,13,apr
34,technician,single,tertiary,925,yes,no,13,apr
26,management,single,tertiary,-3,no,no,13,apr
29,services,divorced,secondary,84,yes,no,13,apr
44,self-employed,single,tertiary,1367,yes,no,13,apr
34,management,married,tertiary,703,yes,no,14,apr
33,management,married,tertiary,0,yes,no,14,apr
34,management,single,tertiary,2646,no,no,14,apr
33,admin.,single,secondary,572,yes,no,14,apr
22,student,single,secondary,107,no,no,14,apr
32,technician,married,secondary,765,yes,yes,14,apr
36,services,single,secondary,-253,yes,no,14,apr
44,admin.,divorced,secondary,0,no,no,14,apr
65,retired,married,secondary,2,no,no,14,apr
61,self-employed,divorced,tertiary,6,yes,no,14,apr
41,housemaid,married,primary,0,no,no,14,apr
24,management,married,unknown,448,no,no,14,apr
77,retired,divorced,tertiary,4659,no,no,14,apr
62,housemaid,married,tertiary,1528,no,no,14,apr
30,unemployed,married,tertiary,330,no,no,14,apr
29,admin.,single,secondary,731,no,no,14,apr
29,unemployed,single,secondary,25,no,no,14,apr
65,management,married,secondary,587,no,no,15,apr
43,services,married,primary,2557,yes,no,15,apr
70,retired,divorced,primary,275,no,no,15,apr
32,services,married,secondary,1129,yes,no,15,apr
46,technician,married,secondary,2149,yes,no,15,apr
33,admin.,married,secondary,855,no,no,15,apr
57,services,married,primary,491,yes,no,15,apr
62,blue-collar,married,secondary,180,no,no,15,apr
32,services,single,secondary,133,no,no,15,apr
39,blue-collar,single,secondary,649,yes,no,15,apr
76,housemaid,divorced,primary,1411,no,no,15,apr
36,admin.,single,secondary,11174,yes,no,15,apr
27,technician,single,secondary,439,yes,no,15,apr
38,management,single,tertiary,6158,yes,no,15,apr
56,blue-collar,married,primary,3498,no,no,15,apr
51,unemployed,married,tertiary,1801,no,no,16,apr
39,management,married,tertiary,937,no,no,16,apr
35,management,divorced,tertiary,26,no,no,16,apr
32,blue-collar,married,secondary,-53,yes,no,16,apr
51,housemaid,married,unknown,2337,yes,no,16,apr
37,technician,married,secondary,1762,no,no,16,apr
52,entrepreneur,single,tertiary,3469,yes,no,16,apr
35,technician,married,secondary,545,yes,no,16,apr
47,admin.,married,secondary,3480,no,no,16,apr
31,technician,married,secondary,183,no,no,16,apr
49,services,married,secondary,2416,yes,no,16,apr
30,management,single,tertiary,424,no,no,16,apr
35,blue-collar,single,secondary,0,yes,no,16,apr
44,management,married,primary,294,no,no,16,apr
42,blue-collar,married,secondary,1598,yes,yes,16,apr
29,management,single,tertiary,268,no,no,16,apr
42,technician,divorced,secondary,214,no,no,16,apr
43,management,married,tertiary,240,yes,no,16,apr
36,technician,single,secondary,2511,yes,no,16,apr
36,technician,married,tertiary,4596,yes,no,16,apr
32,services,married,secondary,1273,yes,no,16,apr
54,technician,married,secondary,3994,no,yes,16,apr
50,management,married,tertiary,469,no,no,16,apr
32,technician,single,tertiary,932,yes,no,16,apr
28,student,single,tertiary,844,no,no,16,apr
40,services,divorced,primary,471,yes,no,16,apr
34,admin.,single,secondary,63,yes,no,17,apr
52,retired,divorced,primary,-779,yes,yes,17,apr
35,blue-collar,married,secondary,293,yes,no,17,apr
32,management,divorced,tertiary,294,yes,no,17,apr
60,management,married,tertiary,13546,no,no,17,apr
34,blue-collar,married,primary,329,yes,no,17,apr
30,admin.,single,secondary,69,yes,no,17,apr
39,self-employed,married,tertiary,-3058,yes,yes,17,apr
40,services,single,secondary,224,yes,no,17,apr
38,management,married,tertiary,165,yes,no,17,apr
35,management,single,tertiary,397,yes,no,17,apr
37,blue-collar,married,primary,3154,yes,no,17,apr
29,technician,married,secondary,1180,yes,no,17,apr
36,technician,single,secondary,-487,yes,no,17,apr
34,management,married,secondary,879,yes,no,17,apr
33,technician,married,secondary,806,no,no,17,apr
29,technician,single,secondary,674,no,no,17,apr
33,management,married,tertiary,0,yes,no,17,apr
41,self-employed,married,secondary,323,yes,no,17,apr
74,retired,married,secondary,921,no,no,17,apr
53,technician,married,secondary,5303,yes,no,17,apr
38,admin.,married,secondary,0,yes,yes,17,apr
41,technician,married,secondary,4004,no,no,17,apr
52,technician,married,secondary,386,no,no,20,apr
40,technician,married,primary,284,yes,no,20,apr
32,entrepreneur,married,secondary,-242,yes,no,20,apr
28,technician,married,secondary,1086,yes,no,20,apr
28,management,single,secondary,2840,no,no,20,apr
35,management,married,tertiary,43,yes,no,20,apr
46,management,married,primary,3229,yes,no,20,apr
50,unknown,married,primary,341,yes,yes,20,apr
44,blue-collar,single,secondary,0,no,no,20,apr
29,blue-collar,divorced,secondary,-19,yes,no,20,apr
61,retired,married,secondary,243,no,no,20,apr
70,retired,married,secondary,2575,no,no,20,apr
44,blue-collar,married,secondary,105,yes,no,20,apr
59,management,married,tertiary,0,yes,yes,20,apr
45,blue-collar,married,primary,-443,yes,yes,20,apr
39,technician,married,tertiary,1524,no,no,20,apr
36,blue-collar,married,primary,1925,yes,no,20,apr
78,retired,married,primary,240,no,no,20,apr
28,technician,single,tertiary,387,yes,no,20,apr
50,self-employed,divorced,tertiary,13,yes,no,20,apr
73,retired,divorced,tertiary,3203,no,no,20,apr
34,management,married,tertiary,606,no,no,20,apr
28,student,single,secondary,0,no,no,20,apr
42,admin.,divorced,secondary,527,no,yes,20,apr
54,unemployed,divorced,secondary,309,no,no,20,apr
27,blue-collar,married,secondary,4333,no,no,20,apr
73,retired,married,primary,253,no,no,20,apr
33,management,single,tertiary,6807,no,no,20,apr
51,entrepreneur,married,tertiary,83,no,no,20,apr
32,management,single,tertiary,819,yes,no,20,apr
33,technician,married,secondary,1968,yes,no,20,apr
26,services,single,secondary,136,no,no,20,apr
32,technician,single,secondary,1995,yes,no,20,apr
41,blue-collar,divorced,primary,285,yes,no,20,apr
39,blue-collar,married,unknown,621,yes,no,20,apr
24,student,single,secondary,597,yes,no,20,apr
37,blue-collar,divorced,secondary,0,yes,no,21,apr
35,management,single,tertiary,1750,yes,no,21,apr
26,student,single,tertiary,10086,no,no,21,apr
29,technician,single,secondary,3466,no,no,21,apr
63,retired,married,unknown,2193,no,no,21,apr
95,retired,divorced,primary,2282,no,no,21,apr
65,retired,married,tertiary,1973,no,no,21,apr
59,technician,married,secondary,10925,no,no,21,apr
35,management,single,tertiary,704,no,no,21,apr
74,retired,married,secondary,9480,no,no,21,apr
56,unemployed,married,primary,3391,no,no,21,apr
26,student,single,tertiary,1134,no,no,21,apr
30,blue-collar,single,unknown,6281,no,no,21,apr
29,self-employed,married,secondary,123,no,yes,21,apr
78,retired,married,primary,8556,no,no,21,apr
45,unknown,divorced,unknown,0,no,no,21,apr
29,blue-collar,single,secondary,2,yes,yes,21,apr
39,admin.,married,tertiary,1108,no,no,21,apr
45,management,married,tertiary,212,no,no,21,apr
45,technician,married,tertiary,5110,no,no,22,apr
36,student,single,secondary,17,no,no,22,apr
41,unknown,single,unknown,942,no,no,22,apr
38,technician,married,secondary,0,yes,no,22,apr
33,admin.,married,tertiary,882,no,no,22,apr
30,services,married,tertiary,81,no,no,22,apr
65,retired,married,primary,276,no,no,22,apr
75,retired,married,tertiary,2991,no,no,22,apr
65,management,divorced,tertiary,90,yes,no,22,apr
53,management,married,tertiary,3754,no,no,22,apr
40,management,married,primary,395,yes,no,22,apr
31,admin.,single,tertiary,676,yes,no,22,apr
25,student,single,secondary,8,no,no,22,apr
37,technician,married,secondary,0,yes,no,22,apr
32,management,single,tertiary,2069,no,no,22,apr
45,management,married,tertiary,506,no,no,23,apr
35,management,married,tertiary,8,no,no,23,apr
74,retired,married,primary,670,no,no,23,apr
37,management,married,tertiary,0,yes,no,23,apr
59,blue-collar,married,primary,1939,no,no,23,apr
76,management,married,unknown,1780,yes,no,23,apr
25,blue-collar,single,secondary,0,no,no,23,apr
27,services,single,secondary,955,no,no,23,apr
39,admin.,married,secondary,732,no,no,23,apr
24,services,single,unknown,2022,no,no,23,apr
28,blue-collar,single,tertiary,4099,no,no,23,apr
51,management,married,tertiary,4917,no,no,23,apr
66,retired,married,primary,2883,no,no,23,apr
28,unemployed,single,primary,1374,no,no,23,apr
30,management,single,tertiary,398,no,no,24,apr
58,blue-collar,married,secondary,3027,yes,no,24,apr
32,management,single,tertiary,2974,yes,no,24,apr
31,technician,single,tertiary,1081,no,no,24,apr
71,technician,married,tertiary,383,no,no,27,apr
37,admin.,married,tertiary,3913,yes,no,27,apr
56,management,divorced,tertiary,3287,no,no,27,apr
65,retired,married,primary,3629,no,no,27,apr
72,self-employed,married,tertiary,132,no,no,27,apr
51,admin.,single,secondary,726,yes,no,27,apr
35,blue-collar,married,secondary,149,yes,no,29,apr
34,blue-collar,married,secondary,640,yes,no,29,apr
29,admin.,married,secondary,7707,yes,no,29,apr
30,technician,single,tertiary,53,no,no,29,apr
39,technician,single,secondary,15,yes,no,30,apr
45,management,married,tertiary,242,no,no,30,apr
28,admin.,single,secondary,377,no,no,30,apr
52,unemployed,married,secondary,94,no,no,30,apr
59,retired,married,primary,363,no,no,30,apr
38,services,married,secondary,1970,yes,no,30,apr
47,technician,married,secondary,1167,yes,no,30,apr
52,management,married,tertiary,193,no,no,30,apr
38,management,married,tertiary,0,yes,no,30,apr
29,student,single,secondary,78,no,no,30,apr
36,unemployed,single,tertiary,1291,no,no,30,apr
58,retired,married,tertiary,1425,no,no,30,apr
31,technician,married,tertiary,3382,no,no,30,apr
59,retired,divorced,secondary,5583,yes,no,30,apr
47,blue-collar,married,secondary,1230,yes,no,30,apr
36,admin.,married,secondary,96,no,no,30,apr
21,student,single,secondary,224,no,no,30,apr
23,student,single,secondary,0,no,no,30,apr
47,blue-collar,married,secondary,1730,yes,no,30,apr
29,management,single,tertiary,697,no,no,30,apr
25,management,single,tertiary,943,no,no,30,apr
37,technician,married,secondary,1458,no,no,30,apr
33,admin.,married,secondary,95,yes,no,30,apr
59,technician,married,secondary,2308,no,no,30,apr
58,management,divorced,tertiary,5701,no,no,30,apr
44,blue-collar,married,unknown,1529,yes,no,30,apr
48,blue-collar,married,secondary,292,no,no,30,apr
34,self-employed,married,primary,7468,yes,yes,30,apr
42,technician,married,unknown,1559,no,no,30,apr
54,admin.,divorced,secondary,1693,no,no,30,apr
42,technician,married,tertiary,757,no,no,30,apr
42,blue-collar,married,primary,201,yes,no,30,apr
44,self-employed,divorced,tertiary,1070,yes,no,30,apr
37,blue-collar,married,secondary,1330,no,no,30,apr
29,student,single,secondary,314,no,no,30,apr
47,unknown,married,unknown,677,no,no,30,apr
24,management,single,tertiary,2845,no,no,30,apr
34,admin.,single,secondary,-32,no,yes,30,apr
30,management,single,tertiary,398,no,no,30,apr
46,technician,married,secondary,0,no,no,30,apr
34,services,married,secondary,1337,no,no,30,apr
59,retired,married,secondary,493,no,no,30,apr
35,management,single,tertiary,1750,yes,no,30,apr
33,technician,married,tertiary,4401,no,no,30,apr
35,management,married,tertiary,193,yes,no,30,apr
37,management,married,tertiary,5106,no,no,30,apr
35,admin.,single,tertiary,994,no,no,30,apr
38,technician,single,tertiary,1101,no,no,30,apr
33,blue-collar,single,unknown,129,yes,yes,30,apr
42,management,married,tertiary,6060,yes,no,30,apr
33,management,married,tertiary,55,no,no,30,apr
53,management,married,tertiary,1624,no,no,30,apr
53,services,married,secondary,341,no,no,30,apr
31,management,single,tertiary,2016,no,no,30,apr
26,admin.,single,secondary,255,no,no,30,apr
30,technician,single,secondary,4684,yes,no,30,apr
24,admin.,single,secondary,1052,no,no,30,apr
28,management,single,tertiary,1808,no,no,30,apr
26,unemployed,single,tertiary,3511,no,no,30,apr
35,technician,married,secondary,518,yes,no,30,apr
28,technician,single,secondary,227,no,no,30,apr
30,admin.,single,secondary,270,no,no,30,apr
32,management,married,tertiary,4733,no,no,30,apr
52,self-employed,married,tertiary,6657,no,no,30,apr
38,management,married,tertiary,613,no,no,30,apr
34,self-employed,single,tertiary,5462,no,no,30,apr
29,technician,single,secondary,674,no,no,30,apr
30,management,single,tertiary,364,no,no,30,apr
31,services,single,secondary,181,no,no,30,apr
24,student,single,primary,474,no,no,30,apr
25,management,single,tertiary,219,no,no,30,apr
47,management,single,tertiary,86,no,no,30,apr
33,student,single,unknown,1170,no,no,30,apr
34,admin.,single,tertiary,18,yes,yes,30,apr
36,technician,single,tertiary,197,no,no,30,apr
50,management,married,tertiary,938,no,no,30,apr
34,management,single,tertiary,1228,no,no,30,apr
54,technician,divorced,secondary,2156,yes,no,30,apr
47,technician,married,tertiary,2408,no,no,30,apr
31,admin.,married,secondary,35,no,no,30,apr
36,management,married,tertiary,393,yes,no,30,apr
35,services,married,unknown,618,no,no,30,apr
25,student,single,secondary,1608,no,no,30,apr
46,management,married,tertiary,699,no,no,30,apr
49,entrepreneur,single,secondary,5802,no,no,30,apr
47,blue-collar,married,primary,2749,yes,no,30,apr
35,management,single,tertiary,1162,no,no,30,apr
30,technician,married,secondary,776,no,no,30,apr
31,management,single,tertiary,1619,no,no,30,apr
55,admin.,married,secondary,139,no,no,30,apr
25,admin.,single,secondary,2816,no,no,30,apr
26,technician,single,secondary,507,no,no,30,apr
85,retired,married,primary,98,no,no,30,apr
29,management,single,tertiary,2753,no,no,30,apr
39,management,married,tertiary,0,no,no,30,apr
33,blue-collar,single,secondary,498,no,no,30,apr
33,blue-collar,single,tertiary,700,no,no,30,apr
58,management,married,tertiary,4152,yes,no,30,apr
61,retired,divorced,secondary,927,no,no,30,apr
50,admin.,single,secondary,2252,no,no,30,apr
54,technician,married,secondary,0,no,no,30,apr
33,technician,married,tertiary,0,no,no,30,apr
36,admin.,single,secondary,728,no,no,30,apr
31,management,single,tertiary,354,no,no,30,apr
24,student,single,secondary,382,no,no,30,apr
29,management,single,tertiary,36252,yes,no,30,apr
40,management,married,tertiary,158,no,no,30,apr
29,blue-collar,single,secondary,734,yes,yes,30,apr
30,admin.,single,tertiary,305,no,no,30,apr
45,blue-collar,married,secondary,10252,no,no,4,may
37,management,single,tertiary,3141,no,no,4,may
28,unemployed,single,primary,236,no,no,4,may
33,management,single,tertiary,5437,no,no,4,may
33,technician,married,secondary,133,no,no,4,may
45,blue-collar,married,secondary,640,yes,no,4,may
25,student,single,tertiary,253,no,no,4,may
41,blue-collar,married,secondary,5060,no,no,4,may
38,technician,divorced,secondary,902,yes,no,4,may
47,technician,married,secondary,335,no,no,4,may
49,management,married,tertiary,1,no,no,4,may
42,admin.,single,secondary,1451,yes,no,4,may
33,technician,single,tertiary,1636,yes,no,4,may
36,admin.,married,tertiary,3221,no,no,4,may
60,technician,married,secondary,316,no,no,4,may
33,technician,married,secondary,2044,yes,no,4,may
33,technician,married,secondary,557,no,no,4,may
33,services,single,secondary,489,yes,no,4,may
32,student,single,tertiary,1138,no,no,4,may
36,self-employed,married,secondary,188,yes,yes,4,may
45,technician,married,secondary,1998,no,no,4,may
35,management,married,tertiary,520,yes,no,4,may
38,management,divorced,tertiary,6368,yes,no,4,may
30,self-employed,married,tertiary,2666,no,no,4,may
31,technician,married,secondary,4182,yes,no,4,may
